season,episode,feature,artist,artist_name,artist_relationship
4,7,CABIN,BOB_ROSS,Bob Ross,Himself
4,7,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
4,7,GRASS,BOB_ROSS,Bob Ross,Himself
4,7,PATH,BOB_ROSS,Bob Ross,Himself
4,7,STRUCTURE,BOB_ROSS,Bob Ross,Himself
4,7,TREE,BOB_ROSS,Bob Ross,Himself
4,7,TREES,BOB_ROSS,Bob Ross,Himself
4,8,CONIFER,BOB_ROSS,Bob Ross,Himself
4,8,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
4,8,GRASS,BOB_ROSS,Bob Ross,Himself
4,8,LAKE,BOB_ROSS,Bob Ross,Himself
4,8,TREE,BOB_ROSS,Bob Ross,Himself
4,8,TREES,BOB_ROSS,Bob Ross,Himself
4,9,BUSHES,BOB_ROSS,Bob Ross,Himself
4,9,CLOUDS,BOB_ROSS,Bob Ross,Himself
4,9,CONIFER,BOB_ROSS,Bob Ross,Himself
4,9,LAKE,BOB_ROSS,Bob Ross,Himself
4,9,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
4,9,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
4,9,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
4,9,TREE,BOB_ROSS,Bob Ross,Himself
4,9,TREES,BOB_ROSS,Bob Ross,Himself
4,10,BUSHES,BOB_ROSS,Bob Ross,Himself
4,10,CONIFER,BOB_ROSS,Bob Ross,Himself
4,10,GRASS,BOB_ROSS,Bob Ross,Himself
4,10,RIVER,BOB_ROSS,Bob Ross,Himself
4,10,TREE,BOB_ROSS,Bob Ross,Himself
4,10,TREES,BOB_ROSS,Bob Ross,Himself
4,12,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
4,12,GRASS,BOB_ROSS,Bob Ross,Himself
4,12,HILLS,BOB_ROSS,Bob Ross,Himself
4,12,LAKE,BOB_ROSS,Bob Ross,Himself
4,12,TREE,BOB_ROSS,Bob Ross,Himself
4,12,TREES,BOB_ROSS,Bob Ross,Himself
4,13,CONIFER,BOB_ROSS,Bob Ross,Himself
4,13,GRASS,BOB_ROSS,Bob Ross,Himself
4,13,LAKE,BOB_ROSS,Bob Ross,Himself
4,13,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
4,13,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
4,13,TREE,BOB_ROSS,Bob Ross,Himself
5,1,BUSHES,BOB_ROSS,Bob Ross,Himself
5,1,CLOUDS,BOB_ROSS,Bob Ross,Himself
5,1,CONIFER,BOB_ROSS,Bob Ross,Himself
5,1,CUMULUS,BOB_ROSS,Bob Ross,Himself
5,1,LAKE,BOB_ROSS,Bob Ross,Himself
5,1,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
5,1,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
5,1,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
5,1,TREE,BOB_ROSS,Bob Ross,Himself
5,1,TREES,BOB_ROSS,Bob Ross,Himself
5,1,WATERFALL,BOB_ROSS,Bob Ross,Himself
5,2,CLOUDS,BOB_ROSS,Bob Ross,Himself
5,2,CUMULUS,BOB_ROSS,Bob Ross,Himself
5,2,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
5,2,GRASS,BOB_ROSS,Bob Ross,Himself
5,2,LAKE,BOB_ROSS,Bob Ross,Himself
5,2,TREE,BOB_ROSS,Bob Ross,Himself
5,2,TREES,BOB_ROSS,Bob Ross,Himself
5,4,CONIFER,BOB_ROSS,Bob Ross,Himself
5,4,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
5,4,LAKE,BOB_ROSS,Bob Ross,Himself
5,4,SNOW,BOB_ROSS,Bob Ross,Himself
5,4,TREE,BOB_ROSS,Bob Ross,Himself
5,4,TREES,BOB_ROSS,Bob Ross,Himself
5,4,WINTER,BOB_ROSS,Bob Ross,Himself
5,5,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
5,5,GRASS,BOB_ROSS,Bob Ross,Himself
5,5,LAKE,BOB_ROSS,Bob Ross,Himself
5,5,TREE,BOB_ROSS,Bob Ross,Himself
5,5,TREES,BOB_ROSS,Bob Ross,Himself
5,7,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
5,7,GRASS,BOB_ROSS,Bob Ross,Himself
5,7,RIVER,BOB_ROSS,Bob Ross,Himself
5,7,ROCKS,BOB_ROSS,Bob Ross,Himself
5,7,TREE,BOB_ROSS,Bob Ross,Himself
5,7,TREES,BOB_ROSS,Bob Ross,Himself
5,8,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
5,8,GRASS,BOB_ROSS,Bob Ross,Himself
5,8,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
5,8,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
5,8,RIVER,BOB_ROSS,Bob Ross,Himself
5,8,TREE,BOB_ROSS,Bob Ross,Himself
5,8,TREES,BOB_ROSS,Bob Ross,Himself
5,10,BARN,BOB_ROSS,Bob Ross,Himself
5,10,CLOUDS,BOB_ROSS,Bob Ross,Himself
5,10,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
5,10,PATH,BOB_ROSS,Bob Ross,Himself
5,10,STRUCTURE,BOB_ROSS,Bob Ross,Himself
5,10,TREE,BOB_ROSS,Bob Ross,Himself
5,10,WINDMILL,BOB_ROSS,Bob Ross,Himself
5,11,BUSHES,BOB_ROSS,Bob Ross,Himself
5,11,CLOUDS,BOB_ROSS,Bob Ross,Himself
5,11,CUMULUS,BOB_ROSS,Bob Ross,Himself
5,11,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
5,11,GRASS,BOB_ROSS,Bob Ross,Himself
5,11,LAKE,BOB_ROSS,Bob Ross,Himself
5,11,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
5,11,ROCKS,BOB_ROSS,Bob Ross,Himself
5,11,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
5,11,TREE,BOB_ROSS,Bob Ross,Himself
5,11,TREES,BOB_ROSS,Bob Ross,Himself
5,13,BARN,BOB_ROSS,Bob Ross,Himself
5,13,CLOUDS,BOB_ROSS,Bob Ross,Himself
5,13,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
5,13,GRASS,BOB_ROSS,Bob Ross,Himself
5,13,RIVER,BOB_ROSS,Bob Ross,Himself
5,13,ROCKS,BOB_ROSS,Bob Ross,Himself
5,13,STRUCTURE,BOB_ROSS,Bob Ross,Himself
5,13,TREE,BOB_ROSS,Bob Ross,Himself
5,13,TREES,BOB_ROSS,Bob Ross,Himself
6,1,BUSHES,BOB_ROSS,Bob Ross,Himself
6,1,CONIFER,BOB_ROSS,Bob Ross,Himself
6,1,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
